Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Document,promtop5,promtop5_bool
2008-08-08,0,0.0,0.0,0.0,0.05,-0.30714285714285716,-0.051851851851851864,0.0,-0.2,-0.1,0.0,0.03333333333333333,0.03333333333333333,-0.033333333333333326,-0.125,0.0,0.35,0.0,-0.1,0.07878787878787878,0.0,-0.6999999999999998,0.0,0.0,-0.1,0.0,-0.043381618381618386,-0.044142101284958435,Neutral
2008-08-11,1,0.0,-0.15555555555555559,0.1,0.0,0.0,0.13636363636363635,-0.425,0.25,0.6,0.0,0.0,0.18333333333333335,0.0,0.13636363636363635,0.0,-0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.10737373737373739,-0.04917027417027418,Neutral
2008-08-12,0,0.0,0.0,-0.25,-0.875,0.0,0.0,0.0,0.022222222222222213,-0.025,0.0,0.03809523809523809,-0.15,0.0,0.21428571428571427,0.5,0.25,0.2857142857142857,-0.3333333333333333,-0.6,0.0,0.0,0.0,-0.2,0.13636363636363635,0.0,-0.0022186147186147222,-0.16071428571428573,Negativo
2008-08-13,0,0.0,0.0,-0.2,-0.21296296296296294,0.17499999999999996,0.0,0.0,0.0,0.0,0.5,-0.16666666666666666,0.0,0.13333333333333333,0.0,0.2857142857142857,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.005842151675485011,-0.033994708994709,Neutral
2008-08-14,1,0.0,0.0,0.4,-0.2333333333333333,-0.2,-0.5,0.625,0.16666666666666666,0.0,-0.1,0.0,0.2857142857142857,0.0,0.55,-0.025,0.1,0.0,0.06666666666666667,0.0,0.06818181818181818,0.0,0.0,0.0,0.0625,0.0,0.030260191197691202,0.013095238095238096,Neutral
2008-08-15,1,-0.16111111111111107,0.0,-0.16666666666666666,0.0,0.0,-0.0625,0.0,0.02500000000000001,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.25,0.0,-0.1,-0.2,0.0,0.1,0.0,0.0,0.0,0.0,-0.03333333333333333,-0.05575396825396824,Negativo
2008-08-18,0,0.0,0.08124999999999999,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.24444444444444446,0.0,0.0,0.0,-0.15555555555555559,-0.15454545454545454,0.0,0.4166666666666667,0.13636363636363635,-0.55,0.0,0.0,0.13636363636363635,-0.03333333333333335,0.0,0.5,-0.7,-0.06355744949494949,0.031087662337662334,Neutral
2008-08-19,0,0.0,0.5,0.0,-0.03333333333333333,0.0,0.0,0.0,-0.4,0.125,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,-0.16666666666666666,0.005555555555555554,0.0,0.0,0.0,0.05,0.0,-0.4,0.5,0.0,-0.06387878787878788,0.06666666666666667,Positivo
2008-08-20,1,0.0,0.0,0.1625,-0.015151515151515152,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.25,0.01610845295055821,0.02819264069264069,Neutral
2008-08-21,1,0.09375,-0.1,0.0,0.0,0.0,0.5,0.0,-0.2,-0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,0.425,0.35000000000000003,0.0,-0.3,0.0,0.0,-0.5,0.0,0.0012820512820512775,0.07053571428571428,Positivo
2008-08-22,1,0.1,0.09090909090909091,0.1,0.0,0.0,0.13636363636363635,0.0,0.0,0.23333333333333336,0.0,0.0,0.0,0.049999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.1,0.0,0.057386363636363645,0.06103896103896104,Positivo
2008-08-25,0,0.0,0.0,-0.4666666666666666,0.0,0.25,0.2375,0.0,-0.25,0.0,0.0,0.0,-0.16666666666666666,0.0,0.06818181818181818,-0.4,0.0,0.0,0.1,0.05,0.0,-0.6999999999999998,0.0,-0.2,0.0,0.1,-0.07626262626262624,0.0029761904761904817,Neutral
2008-08-26,1,-0.5,-0.2,0.25,-0.21458333333333338,0.4166666666666667,0.15,-0.1,0.0,0.05,-0.25,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.05,0.5,0.03710317460317461,-0.028273809523809517,Neutral
